be1374bc bf75c290 (-0.144000, -0.960000) :b
be0d4fe0 bf75c290 (-0.138000, -0.960000) :b
be072b00 bf75c290 (-0.132000, -0.960000) :c
be010624 bf75c290 (-0.126000, -0.960000) :c
bdf5c290 bf75c290 (-0.120000, -0.960000) :e
bde978d8 bf75c290 (-0.114000, -0.960000) :10
bddd2f18 bf75c290 (-0.108000, -0.960000) :21
bdd0e560 bf75c290 (-0.102000, -0.960000) :13
bdc49ba8 bf75c290 (-0.096000, -0.960000) :1a
bdb851e8 bf75c290 (-0.090000, -0.960000) :15
bdac0830 bf75c290 (-0.084000, -0.960000) :16
bd9fbe78 bf75c290 (-0.078000, -0.960000) :f
bd9374b8 bf75c290 (-0.072000, -0.960000) :f
bd872b00 bf75c290 (-0.066000, -0.960000) :c
bd75c290 bf75c290 (-0.060000, -0.960000) :b
be1374bc bf743958 (-0.144000, -0.954000) :b
be0d4fe0 bf743958 (-0.138000, -0.954000) :b
be072b00 bf743958 (-0.132000, -0.954000) :b
be010624 bf743958 (-0.126000, -0.954000) :c
bdf5c290 bf743958 (-0.120000, -0.954000) :d
bde978d8 bf743958 (-0.114000, -0.954000) :e
bddd2f18 bf743958 (-0.108000, -0.954000) :11
bdd0e560 bf743958 (-0.102000, -0.954000) :26
bdc49ba8 bf743958 (-0.096000, -0.954000) :12
bdb851e8 bf743958 (-0.090000, -0.954000) :f
bdac0830 bf743958 (-0.084000, -0.954000) :d
bd9fbe78 bf743958 (-0.078000, -0.954000) :d
bd9374b8 bf743958 (-0.072000, -0.954000) :c
bd872b00 bf743958 (-0.066000, -0.954000) :b
be1374bc bf72b021 (-0.144000, -0.948000) :b
be0d4fe0 bf72b021 (-0.138000, -0.948000) :b
be072b00 bf72b021 (-0.132000, -0.948000) :b
be010624 bf72b021 (-0.126000, -0.948000) :c
bdf5c290 bf72b021 (-0.120000, -0.948000) :d
bde978d8 bf72b021 (-0.114000, -0.948000) :e
bddd2f18 bf72b021 (-0.108000, -0.948000) :11
bdd0e560 bf72b021 (-0.102000, -0.948000) :2a
bdc49ba8 bf72b021 (-0.096000, -0.948000) :11
bdb851e8 bf72b021 (-0.090000, -0.948000) :e
bdac0830 bf72b021 (-0.084000, -0.948000) :d
bd9fbe78 bf72b021 (-0.078000, -0.948000) :c
bd9374b8 bf72b021 (-0.072000, -0.948000) :c
bd872b00 bf72b021 (-0.066000, -0.948000) :b
be1374bc bf7126ea (-0.144000, -0.942000) :b
be0d4fe0 bf7126ea (-0.138000, -0.942000) :b
be072b00 bf7126ea (-0.132000, -0.942000) :b
be010624 bf7126ea (-0.126000, -0.942000) :c
bdf5c290 bf7126ea (-0.120000, -0.942000) :d
bde978d8 bf7126ea (-0.114000, -0.942000) :f
bddd2f18 bf7126ea (-0.108000, -0.942000) :1f
bdd0e560 bf7126ea (-0.102000, -0.942000) :32
bdc49ba8 bf7126ea (-0.096000, -0.942000) :11
bdb851e8 bf7126ea (-0.090000, -0.942000) :e
bdac0830 bf7126ea (-0.084000, -0.942000) :d
bd9fbe78 bf7126ea (-0.078000, -0.942000) :c
